frame,X,Y,Z
793,51.2313,86.7438,47.7546
794,51.2271,87.0918,47.7638
795,51.2280,87.2092,47.6719
796,51.2053,87.4320,47.6140
797,51.1229,87.8003,47.7089
798,51.0933,88.1466,47.7194
799,51.1588,88.3557,47.7274
800,51.2405,88.4458,47.7246
801,51.1849,88.6316,47.6378
802,51.0467,88.7775,47.5922
803,50.8805,88.8638,47.5631
804,50.8236,88.9330,47.4744
805,50.8044,89.2634,47.4888
806,50.8731,89.6517,47.5051
807,50.9138,90.0181,47.4319
808,51.0154,90.4304,47.5483
809,51.1999,90.7518,47.6374
810,51.3752,90.8375,47.6669
811,51.4788,91.0055,47.6738
812,51.4756,91.2496,47.7103
813,51.3877,91.6363,47.6728
814,51.3082,92.1566,47.7172
815,51.1513,92.7195,47.8006
816,50.9915,93.2450,47.8554
817,50.8697,93.8124,47.9467
818,50.9229,94.1272,47.9595
